adar	eus-30-13163250-n	 landare baten gorputz, ardatz edo egitura orokorretik ateratzen den adarkadura
adei	eus-30-04913839-n	 pertsonen sentimenduekiko begirunea
adei	eus-30-06207561-n	 jarrera adeitsua edo leiala
adeitasun	eus-30-04913839-n	 pertsonen sentimenduekiko begirunea
adeitasun	eus-30-06206800-n	 begirunezko jarrera
adeitasun	eus-30-06207561-n	 jarrera adeitsua edo leiala
adeitasun	eus-30-14437552-n	 ondratua izatearen egoera
adenosina_fosfato	eus-30-80000752-n	 Adenosina nukleosidoak azido fosforiko molekulekin era ditzakeen hiru konposatuetatik edozein. Alegia, adenosina monofosfatoa, adenosina difosfatoa nahiz adenosina trifosfatoa.
adibide	eus-30-05820620-n	 multzo baten erakusgarria den unitate bat
adibide	eus-30-05925366-n	 jarraitzekoa edo imitatzekoa izan daitekeela uste den egite edo jokaera
adibide	eus-30-05937112-n	 bere nolakotasunengatik multzo guztia ordezkatzen duen tipoa
adibide	eus-30-06672752-n	 beste batzuk ohartarazteko jartzen den zigorra
adibide	eus-30-10324851-n	 bere nolakotasun bikainengatik nork bere egitekoetan jarraitzen duen pertsona edo jarraitu beharko lukeena
adierazgarri	eus-30-06880249-n	 mezu bat aditzera ematen duena
adierazle	eus-30-06880249-n	 mezu bat aditzera ematen duena
adierazpen	eus-30-04076846-n	 norbaitek edo zerbaitek adierazteko sortzen duen gauza hautemangarria
adierazpen	eus-30-06511874-n	 jendaurrean zerbait jakinaraziz egiten den izkribua
adierazpen	eus-30-06722453-n	 deklaratu edo baieztatzen den mezua, jendarte edo gertaeren inguruko ahozko ala idatzizko komunikazioa
adierazpen	eus-30-06732169-n	 ikur edota zenbakien bidezko edozein forma matematiko
adierazpen	eus-30-06736217-n	 legezko esparruetan egiten den baieztapena
adierazpen	eus-30-07139873-n	 nork bere barnean duena adieraztea, bereziki hizkuntzaren bidez
adierazpide	eus-30-04076846-n	 norbaitek edo zerbaitek adierazteko sortzen duen gauza hautemangarria
adimen	eus-30-05617606-n	 ulertzeko gaitasuna
adimendu	eus-30-05617606-n	 ulertzeko gaitasuna
adin	eus-30-04924103-n	 norbaiti edo zerbaiti buruz, jaio edo eratu zenetik igaro den denbora
adin	eus-30-15145171-n	 bizitza banatzen den zati bakoitza
adin	eus-30-15153787-n	 bizia banatzen den azken zatia edo adina: zahartzaroa
adineko_andre	eus-30-10377021-n	 atsoa, emakume zaharra
adin_handi	eus-30-15153787-n	 bizia banatzen den azken zatia edo adina: zahartzaroa
adiskide	eus-30-09816771-n	 aktibitateren batean beste batzuekin elkartzen den pertsona
adiskide	eus-30-09871364-n	 ezkongabeen artean, gizonezko bikotekidea
adiskide	eus-30-10112591-n	 ondo ezagutzen den pertsona bat (maitasuna, errespetua eta konfidantzaz hartzen dena)
adiskide	eus-30-10130686-n	 ezkongabeen artean, emakumezko bikotekidea
adiskidetasun	eus-30-07544647-n	 gustatzearen sentimendu positiboa
aditu	eus-30-09617867-n	 alor jakin batean ezagutza bereziak dituen pertsonari ematen zaion izena
administrazio	eus-30-01135952-n	 helburu jakin batzuk lortzea xede duen enpresa-jarduera burutzeko erabiltzen den arau, prozedura eta eragiketa-metodoen multzoa
administrazio	eus-30-08164585-n	 estatuaren, lurralde baten gobernatzearen gauzatzeaz arduratzen den pertsona taldea
adore	eus-30-04634161-n	 ekintzan edo adierazpenean erakusten den indar bizia
adore	eus-30-04634833-n	 bizitzari zein oztopoei aurpegi emateko gogoa
adore	eus-30-04836683-n	 ekimen handikoa edo gogozko adorea
adore	eus-30-07526182-n	 beldurrik ez sentitzea edo adorea izatea
ados_jartze	eus-30-13971065-n	 bestearekin bat etortzea edo egotea
adostasun	eus-30-01203676-n	 arau batzuekin bat etortzea
adostasun	eus-30-04713332-n	 bestearekin bat etortzea edo egotea
adostasun	eus-30-07175241-n	 bestearekin bat etortzea edo egotea
adostasun	eus-30-13971065-n	 bestearekin bat etortzea edo egotea
adoste	eus-30-07175241-n	 bestearekin bat etortzea edo egotea
adreilu	eus-30-02897820-n	 buztin lurra eguzkitan edo labean egosirik egindako atal prismatikoa, eraikuntzan erabilia
AED	eus-30-08768647-n	 Bigarren Mundu Gerraren ostean Sobietar Batasunak okupatutako Alemaniako eremua
aerodromo	eus-30-02692232-n	 airetiko joan-etorrien geltoki moduan erabiltzeko prestatutako zelaia eta instalazio-multzoa
aeromodelo	eus-30-80000591-n	 Hegazkin-eredu txikia, benetakoarekiko eskalan egina. Batzuek hegan egin dezakete
aeronautika	eus-30-06096913-n	 aire-nabigazioa aztertzen duen zientzia
aerostatika	eus-30-80000322-n	 Gasen oreka gobernatzen duten legeak aztertzen dituen fisikaren atala
aerotren	eus-30-80000592-n	 Aire-koltxoien gainean, trenbide berezi batetik dabilen abiadura handiko trena
afasia	eus-30-14097574-n	 hartutako hizkuntz akatsa, hitz egiteko edo hizkuntza mintzatua edo idatzia ulertzeko gaitasuna galtzean datzana; garuneko lesio baten ondorioz gertatzen da
afera	eus-30-05671325-n	 zehaztugabeko gertakaria
afera	eus-30-05814291-n	 hausnartzera daraman egoera edo ekintza
afera	eus-30-05833022-n	 zerbaitek eskatzen duen ardura
Afrika	eus-30-09189411-n	 munduko sei kontinenteetako bat
agente	eus-30-09190918-n	 efektu zehatz bat eragiteko kausa aktiboa eta efektiboa
agente	eus-30-14778436-n	 indar edo efektua eragiten duen substantzia
agentzia	eus-30-08057206-n	 arazoak gestionatzen edo zenbait zerbitzu ematen dituen enpresa
agentzia	eus-30-08337324-n	 gobernuaren administrazioko saila
agerraldi	eus-30-01232842-n	 kargudun batek edo egiten duena
agerraldi	eus-30-08385280-n	 bisitatzaileak lotutako hitzordua
agindu	eus-30-06547059-n	 arau juridikoaren zatia edo arau ez osatua, betebehar zehatz bat ematen duena
agindu	eus-30-06552984-n	 arau juridikoaren zatia edo arau ez osatua, betebehar zehatz bat ematen duena
agindu	eus-30-06584891-n	 ordenagailuari eragiketa bat burutu dezan adierazteko erabiltzen den lengoaia formal batean idatzitako sekuentzia
agindu	eus-30-06663940-n	 inori agintzen zaiona, bereziki egin beharrekotzat ezartzen zaiona
agindu	eus-30-07168131-n	 norbaitek, duen eskuaz baliaturik, egin behar dena esan edo adieraztea
agindu	eus-30-07226545-n	 nork bere burua zerbait egitera behartu
agindu_judizial	eus-30-06547059-n	 arau juridikoaren zatia edo arau ez osatua, betebehar zehatz bat ematen duena
agindu_judizial	eus-30-06552984-n	 arau juridikoaren zatia edo arau ez osatua, betebehar zehatz bat ematen duena
aginpide	eus-30-13945102-n	 agintzeko boterea edo eskua
agintaldi	eus-30-15291498-n	 legebiltzarrak legegintzan diharduen denbora-bitartea, hauteskunde-prozesuez mugatua dena
agintari	eus-30-08050678-n	 estatu edo lurralde bat gobernatzen duen organo politikoa
agintari	eus-30-09623038-n	 norbaiti agintzen dion, edo norbait inspiratzen edo gidatzen duen pertsona
agintaritza	eus-30-08190292-n	 ofizial bakar baten ardurapeko lurraldea edo unitate militarra
agintaritza	eus-30-13953608-n	 agintzeko boterea edo eskua duenaren posizioa
aginte	eus-30-03096960-n	 zenbait tresna edo aparatu martxan jartzeko eta kontrolatzeko bidea, gauza edo prozedura
aginte	eus-30-07168131-n	 norbaitek, duen eskuaz baliaturik, egin behar dena esan edo adieraztea
aginte	eus-30-08190292-n	 ofizial bakar baten ardurapeko lurraldea edo unitate militarra
aginte	eus-30-13953608-n	 agintzeko boterea edo eskua duenaren posizioa
aginte	eus-30-15291498-n	 legebiltzarrak legegintzan diharduen denbora-bitartea, hauteskunde-prozesuez mugatua dena
agiri	eus-30-03217458-n	 marka sinboliko bat bitartez egindako eta pertsona baten pentsamendua adierazteko balio duen edozer
agiri	eus-30-06470073-n	 zerbaitetaz informatzeko, zerbaiten berri emateko balio duen izkribua
agiri	eus-30-13403331-n	 aurrekontuetako atal bakoitza
agresio	eus-30-01237167-n	 erasoaldi militarra
ahaide	eus-30-10235549-n	 ahaidea, hurbileko odol-erlazioa duen pertsona
ahal	eus-30-05200169-n	 zerbait egiteko baliabideen jabetza
ahal	eus-30-05616246-n	 zerbait egiteko baliabideen jabetza
ahalbide	eus-30-14481929-n	 posible denaren nolakotasuna
ahaldun	eus-30-10005934-n	 herriak ganbera legegile baten kide izateko hautatutako ordezkaria edo diputazioetako gobernua osatzen duten kideetako bakoitza
ahalegin	eus-30-00621627-n	 lan bat egiteko erabiltzen den energia fisiko edo mentala
ahalegin	eus-30-00786195-n	 helburua lortzeko egiten den ekintza
ahalkegabekeria	eus-30-04838210-n	 lotsagabekeria
ahalmen	eus-30-05200169-n	 zerbait egiteko baliabideen jabetza
ahalmen	eus-30-05616246-n	 zerbait egiteko baliabideen jabetza
ahari	eus-30-02412080-n	 ardiaren arra, adar biribilkatuak dituena
ahetz	eus-30-09337406-n	 edari alkoholdunetan fermentazioaren ondorioz eratzen den hondarra
ahizpa	eus-30-10602258-n	 ermandade bateko emakumezko kidea
ahizpa	eus-30-10602470-n	 emakumezkoen zenbait ordenatako kideei ematen zaien izena edo trataera
aho	eus-30-03469687-n	 su-arma batean, kanoiak jaurtigaia irteteko duen zuloa
aho	eus-30-03624497-n	 tresna ebakitzaile baten ertz zorrotza
aho	eus-30-03652226-n	 leiho, ate, etab.etan, higitzen den zatietako bakoitza
aho	eus-30-03794392-n	 botila edo pitxarraren irekidura
aho	eus-30-04287153-n	 likidoak edo aleak igarotzen uzten duen irekidura
aho	eus-30-05301908-n	 ezpainek inguratzen duten irekidura
aho	eus-30-05302499-n	 animalien digestio-hodiaren lehen zati edo sarrera, elikagaiak hartzeko erabiltzen den barrunbea
aho	eus-30-05715283-n	 zaporea edo gauzek dastamenean eragiten duten sentsazioa
aho	eus-30-07109196-n	 mintzoaren organoa
aho	eus-30-09362316-n	 ibaia itsasoratzen den lekua
aho	eus-30-09362469-n	 hainbat gauzaren irekidura
aholku	eus-30-06671484-n	 zer egin edo nola jokatu behar den argituz ematen den iritzia
ahots	eus-30-04981941-n	 pertsona baten berbaldiko ezaugarri edota doinu bereizgarria
ahots	eus-30-05202284-n	 hitz egiteko gaitasuna
ahots	eus-30-07030718-n	 musika polifonikoan ahots edo instrumentu jakin batek daukan melodia
ahots	eus-30-07110615-n	 ahots-korden bitartez ekoizten den soinua, ahotsa
ahots	eus-30-10758713-n	 abeslaria
ahozko_hizkuntza	eus-30-07109196-n	 mintzoaren organoa
AIFF	eus-30-80000617-n	 Apple Computerrek garatutako audio-formatua. Konpresiorik gabeko formatua da.
aire	eus-30-06255354-n	 komunikazioa posible egiten duen ingurunea, ahozkoa, irratizkoa zein telebistazkoa
aire	eus-30-07028373-n	 elkarren segidako nota edo soinu musikal batzuek osatzen duten multzoa
aire	eus-30-08653314-n	 Lur-atmosfera eratzen duen gas-nahasteak Lurraren inguruan betetzen duen espazioa
aire	eus-30-11525955-n	 presio handitik presio txikira doan haizea (batzutan indar handiarekin)
aire	eus-30-14841267-n	 Lur-atmosfera eratzen duen gas-nahastea, batez ere oxigenoz eta nitrogenoz osatua
aire	eus-30-14842703-n	 unibertsoa osatzen duten lau elementuetako bat
aireko	eus-30-02691156-n	 airea baino astunagoa den aire-ibilgailua, hego-itxurako azal finkoen bidez airean mantentzen da eta helize- edo erreakzio-motor bidez propultsatzen da
aire_kontinental	eus-30-80000738-n	 Lurrazal kontinentalaren gainean egon den eta, arrazoi horregatik, hezetasun gutxi duen airea
aireko_tenperatura	eus-30-80000294-n	 Aireko eremu txiki batean dauden molekulen mugimenduaren batez besteko energia zinetikoaren adierazpena, airearekin oreka termikoan dagoen termometro kalibratuak neurtua
aire-mihi_bero	eus-30-80000739-n	 Polorantz nabarmen luzatzen den aire-masa beroa
aireplano	eus-30-02691156-n	 airea baino astunagoa den aire-ibilgailua, hego-itxurako azal finkoen bidez airean mantentzen da eta helize- edo erreakzio-motor bidez propultsatzen da
aireportu	eus-30-02692232-n	 airetiko joan-etorrien geltoki moduan erabiltzeko prestatutako zelaia eta instalazio-multzoa
aireratze_eta_lurreratze_bertikalak	eus-30-80000677-n	 Aireontzi bat lasterrik egin gabe aireratzea edo lurreratzea.
aireratze_eta_lurreratze_labur_edo_bertikaleko_hegazkin	eus-30-80000656-n	 Bertikalki nahiz lasterraldi labur batez aireratu edo lurreratu daitekeen aireontzia.
aita	eus-30-01323355-n	 ume bat edo gehiago sortarazi dituen animalia arra
aita	eus-30-10080869-n	 seme edo alaba bat edo gehiago sortarazi dituen gizona
aita	eus-30-10081204-n	 hainbat apaiz eta bereziki elizgizoni ematen zaien titulua
aita	eus-30-10102800-n	 leinu baten fundatzaile edo burua den gizona
aita	eus-30-10107303-n	 instituzio bat ezartzen edo sortzen duen gizona
aitatxo	eus-30-09988063-n	 aitari, bereziki haurren ahotan, ematen zaion izen adierazkorra
aitorpen	eus-30-06736217-n	 legezko esparruetan egiten den baieztapena
aitzakia	eus-30-14462666-n	 perfektua ez izatearen egoera
aitzindari	eus-30-09627117-n	 norbaiten edo zerbaiten etorrera prestatzen duena, norbaiti edo zerbaiti bide egiten diona
aitzindari	eus-30-10434725-n	 alor edo egiteko batean bidea urratzen duena, bertatik lehen abiatzen dena
aiurri	eus-30-04620216-n	 gizaki baten ezaugarri diren nolakotasunen multzoa, izateko modua edo era
aiurri	eus-30-04623113-n	 gizaki baten ezaugarri diren nolakotasunen multzoa, izateko modua edo era
akabu	eus-30-14562960-n	 amaierako egoera
akats	eus-30-00070965-n	 judizio okerrari edo ezjakintasunari edo atentzio faltari dagokion ekintza okerra
akats	eus-30-05162642-n	 hutsegitea edo gabezia
akats	eus-30-06769392-n	 baieztapen baten zati ez zuzena
akats	eus-30-14462666-n	 perfektua ez izatearen egoera
aklimatazio	eus-30-80000757-n	 Altitude handian (3,000 m inguruan) gertatzen diren egokitzapenen multzoa, hala nola arnas maiztasuna eta eritrozito-formula areagotzea; anoxia konpentsatzeko gertatzen da.
akorde	eus-30-06869951-n	 harmonikoki konbinatutako hiru nota desberdin edo gehiagoren multzoa
akordio	eus-30-06770275-n	 pertsona, talde, estatu, erakunde, etab.ek zerbaitetarako hitzartzea, ados etortzea
aktore	eus-30-09767197-n	 gauzak eginak izan daitezen eta ekintza eragiten duen pertsona
aktore	eus-30-10415638-n	 antzezten duena; antzerkiak jokatzen dituen pertsona
akusatu	eus-30-09762101-n	 hoben edo huts bat egozten zaion pertsona
akusazio	eus-30-06561942-n	 zerbait okerra edo irain bat epaitegian denuntziatzeko ekintza
akusazio	eus-30-07235790-n	 instituzioetan jarrera oker bat denuntziatzen duen agiri formal bat
ala	eus-30-07534430-n	 atsekabe handia, samintasun-sentimendua
alaba	eus-30-09918762-n	 klan edo tribu bateko kidea
alaitasun	eus-30-07527352-n	 gertakari onuragarri batek, gustuko zerbait lortzeak edo bere sentimendu eta afektuak aseko dizkion zerbaitek norbaitengan sorrarazten duen sentimendua
alanbre	eus-30-04594218-n	 edozein metalezko eta bereziki altzairu gozozko haria, malgutasun eta zailtasun handikoa, trefilaketaz ateratzen dena
albistari	eus-30-06267145-n	 egunero edo astero argitaratzen den argitalpena
albistari	eus-30-10521662-n	 ikerkuntza kazetaritza egiten duen profesionala
aldaketa	eus-30-00191142-n	 zerbait aldatzearen ekintza
aldaketa	eus-30-00194969-n	 arau edo ardatza saihesten duen aktibitatea
aldaketa	eus-30-04752034-n	 aldatzearen edo hobetzearen ekintza edo ondorioa
aldaketa	eus-30-07296428-n	 zerbait egoera batetik beste batera igarotzen deneko gertakaria
aldaketa	eus-30-11412727-n	 zerbait aldatzean ematen den emaitza
aldaketa	eus-30-13859043-n	 egoeren arteko aldaketa erlazionala; batez ere gertakari batek atzea eta aurrea bereizten dituenean
aldakuntza	eus-30-00191142-n	 zerbait aldatzearen ekintza
aldakuntza	eus-30-00194969-n	 arau edo ardatza saihesten duen aktibitatea
aldakuntza	eus-30-00399393-n	 transformatzearen edo birmoldatzearen ekintza eta ondorioa
aldakuntza	eus-30-07296428-n	 zerbait egoera batetik beste batera igarotzen deneko gertakaria
aldakuntza	eus-30-11412727-n	 zerbait aldatzean ematen den emaitza
aldakuntza	eus-30-13859043-n	 egoeren arteko aldaketa erlazionala; batez ere gertakari batek atzea eta aurrea bereizten dituenean
aldapa	eus-30-09437454-n	 bideak edo mendiak plano baten abiapuntutik goraka egiten duen tartea
aldarri	eus-30-07120524-n	 protesta batetan ahotsarekin egotziriko hots zorrotza
aldarrikapen	eus-30-01061945-n	 zerbaiten eskakizun edo defentsa aldarri eginez egin
aldarrikapen	eus-30-06726158-n	 publikoa den adierazpena
aldats	eus-30-09437454-n	 bideak edo mendiak plano baten abiapuntutik goraka egiten duen tartea
aldatze	eus-30-00191142-n	 zerbait aldatzearen ekintza
aldatze	eus-30-00194969-n	 arau edo ardatza saihesten duen aktibitatea
alde	eus-30-05850624-n	 arazo batek agertzen dituen ezaugarri edo alderdietako bat
alde	eus-30-08510666-n	 hainbat objektuk duten kanpoko superfiziea
alde	eus-30-08630039-n	 aldea, alderdia, lurraldea, bereziki bakartua
alderdi	eus-30-05850624-n	 arazo batek agertzen dituen ezaugarri edo alderdietako bat
alderdi	eus-30-08256968-n	 botere politikoa erdiestea helburu duen erakundea
alderdi	eus-30-08510666-n	 hainbat objektuk duten kanpoko superfiziea
alderdi	eus-30-08630039-n	 aldea, alderdia, lurraldea, bereziki bakartua
alderdi	eus-30-10640620-n	 ezkonduta dagoen bikotearen kideetako bat
alderdi_politiko	eus-30-08256968-n	 botere politikoa erdiestea helburu duen erakundea
aldi	eus-30-06329506-n	 kontzeptu nozionala, aditzak adierazten duen ekintza kronologikoki noiz gertatu den azaltzen duena (denbora estralinguistiko edo semantikoari dagokio; orainaldian, iraganaldian eta geroaldian gauzatzen da)
aldi	eus-30-15113229-n	 halako denbora-hedadura
aldi_errefraktario_erlatibo	eus-30-80000756-n	 Aldi errefraktario absolutuaren osteko denbora-tartea, zenbait milisegundokoa. Tarte horretan, nerbio-ehunen estimulazio-atalasea areagotu egiten da, eta ohikoa baino estimulazio handiagoa behar da ekintza potentzial bat has dadin.
aldizkako_argitalpen	eus-30-06593296-n	 denbora-epe jakin bateko tartearekin erregulartasunez kaleratzen den argitalpena
aldizkari	eus-30-03704210-n	 aldizka argitaratzen den paper-azalezko objektu fisikoa
aldizkari	eus-30-06267145-n	 egunero edo astero argitaratzen den argitalpena
aldizkari	eus-30-06593296-n	 denbora-epe jakin bateko tartearekin erregulartasunez kaleratzen den argitalpena
aldizkari	eus-30-06595351-n	 aldizkako paper-azalezko argitalpena
aldizkari	eus-30-08063303-n	 aldizkariak argitaratzen dituen enpresa
aldra	eus-30-07994331-n	 etxeko abereen taldea edo multzoa
aldra	eus-30-07994555-n	 multzotan antolatuta bizi diren abere basatien taldea edo multzoa
aldra	eus-30-08183046-n	 pertsonen edo gauzen taldea, aldra edo multzoa
aldundi	eus-30-08326383-n	 Hego Euskal Herriko probintzia bakoitzeko diputatuek osatzen duten erakundea, probintziari dagozkion gaietan eskumena duena
ale	eus-30-05822239-n	 espezie, genero, arraza edo, oro har, mota bereko banako edo gauza bakoitza
ale	eus-30-06596978-n	 aldizkako argitalpenetan, data desberdina duten argitalpen desberdinetako bakoitza
ale	eus-30-12141495-n	 janaritzat hartzen diren landareen garauak
ale_arteko_apurketa	eus-30-80000701-n	 Metal edo aleazio batean, pitzadura aleen mugan zehar hedatzea
aleatze_mekaniko	eus-30-80000356-n	 Oso partikula txikietatik abiatuz metal-hauts konposatuak egoera solidoan eta fusiorik gabe sortzeko prozesua
aleazio_bitar	eus-30-80000327-n	 Bi metalez osatutako aleazioa
aleazio_erregogor	eus-30-80000329-n	 Tenperatura altuan tentsioari eta oxidazioari aurre egiteko gaitasuna duen aleazioa
aleazio_forjatu	eus-30-80000332-n	 Moldekatu ondoren mekanikoki landu den aleazioa
aleazio_handiko_altzairu	eus-30-80000718-n	 Karbonoaz gain beste aleazio-elementu batzuen kantitate handiak dituen altzairua
alegiazko_denda	eus-30-80000620-n	 Interneteko denda, sarearen bidez erosketak egin eta, oro har, kreditu-txartelaren bidez edo beste edozein diru digitalen bidez ordaintzeko aukera ematen duena
alegiazko_merkataritza-gune	eus-30-80000625-n	 Interneteko webgunea, hainbat dendaren webgunetara sarbidea ematen duten estekak biltzen dituena. Gehienetan, denda guztietako erosketak saski berera gehitu eta, bukaeran, dena batera ordaintzen da, kreditu txartelarekin edo beste edozein diru digitalekin
Alemaniako_Errepublika_Demokratikoa	eus-30-08768647-n	 Bigarren Mundu Gerraren ostean Sobietar Batasunak okupatutako Alemaniako eremua
Aleppo_pinu	eus-30-80000503-n	 <I>Pinus<I> generoko zuhaitz-espeziea. Azikulak adarren muturretan eta binaka kokatuta dauzka. Eskualde mediterraneoan berez hazten da, eta lurzoru lehor eta beroetan oso ongi hazten denez, birpopulaketan asko erabili da.
aleroiaren_orekatze-hegalkin	eus-30-80000657-n	 Aleroiek oreka gordetzeko izan ohi duten hegalkina.
alfa_helize	eus-30-80000642-n	 Proteina osatzen duten aminoazido-kateek espazioan hartzen duten konfigurazio helikoidala, destrogiroa (erlojuen orratzen noranzkoan biribilkatua; gehienetan egitura hori izaten du) edo lebogiroa (erlojuen orratzen alderantzizko noranzkoan) izan daitekeena. Ondoz ondoko espiretako molekuletako <kar:marra_ertaina>CO<kar:marra_ertaina> eta <kar:marra_ertaina>NH<kar:marra_ertaina> taldeen artean hidrogeno-loturak eratzen dira, eta horrek sendotasun ematen dio egiturari. Espira bakoitzean 3,6 aminoazido-hondar daude, eta hondar bakoitzak 1,5 <kar:angstrom>-eko luzera du; beraz, espira bakoitza 5,4 <kar:angstrom> luze da
alkandora	eus-30-04197391-n	 gizonezkoen jantzia, soina eta besoak eta gehienetan lepoa estali eta aurrealdean botoiak dituena
alkate	eus-30-10303814-n	 udaleko burua, udal-batzarraren lehendakaria
alkatetza	eus-30-00595333-n	 alkatearen eginkizun eta kargua
alkohol-deshidrogenasa	eus-30-80000463-n	 NAD+ erreduzituz alkoholen oxidazioa katalizatzen duten entzimen taldea. Gizakietan eta beste hainbat animaliatan toxikoak izan daitezkeen alkoholak apurtzeko erabiltzen da; legamietan eta bakterio askotan, berriz, zenbait alkohol deshidrogenasak kontrako noranzkoko erreakzioa katalizatzen dute, hartzidura-prozesuaren barnean
alkoholemia	eus-30-80000326-n	 Odolean alkohola izatea
alor	eus-30-01097119-n	 jarduera sozioekonomikoa banatzen den zati bakoitza
alor	eus-30-05815517-n	 zernahi giza jarduera banatzen den zati bakoitza
alor	eus-30-05853273-n	 ezagutza adar berezitua
alor	eus-30-05996646-n	 ezagutza adarra
alor	eus-30-08674739-n	 lur-zati edo lur-eremua; bereziki, ereiteko nahiz zerbait landatzeko egokitu eta prestatzen dena
alor	eus-30-09260907-n	 lur-zati edo lur-eremua; bereziki, ereiteko nahiz zerbait landatzeko egokitu eta prestatzen dena
alosterismo	eus-30-80000178-n	 Entzimen jarduera kontrolatzeko mekanismoa. Hirugarren molekula espezifiko bat entzimaren gune espezifiko batean lotuz gero entzimaren konformazio espaziala eta substratuarekiko afinitatea aldatu egiten dira eta, hartara, entzimaren beraren jarduera ere bai
Alpeak	eus-30-09194357-n	 Europako mendikatearik altuena; Mediterraneotik Vienarainoko arkua osatzen du
alternatiba	eus-30-05790944-n	 multzo batetik nahiaren arabera har daitezkeen zeretako bakoitza
